Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
733.5,770.33,765.84,751.24,722.26,-6.55,-3.72,False,False,True,True,True,True,False,-5.63%,-1.29%,6.95%,-4.78%,-1.33%,-0.63%,BIKAJI.NS
346.8,357.82,363.9,359.1,352.91,-4.08,-10.43,False,False,True,False,True,True,False,-3.06%,3.86%,-10.42%,-2.21%,3.82%,-18.00%,BIOCON.NS
350.8,371.27,378.26,398.91,431.2,-6.96,-13.23,True,False,False,False,False,False,False,-7.97%,-16.35%,-33.56%,-7.12%,-16.39%,-41.14%,BSOFT.NS
5709.0,5730.52,5869.02,6236.48,6313.05,-0.78,-14.92,True,False,False,False,False,False,False,-2.44%,-15.14%,-7.89%,-1.59%,-15.18%,-15.47%,BLUEDART.NS
1879.1,1918.82,1861.72,1760.39,1862.57,-4.16,6.51,False,False,False,True,True,True,False,-1.17%,21.38%,0.97%,-0.31%,21.34%,-6.61%,BLUESTARCO.NS
1809.0,1875.66,1866.4,1916.55,1923.72,-1.45,-7.02,True,False,False,True,False,False,False,-1.81%,-10.91%,-7.67%,-0.96%,-10.95%,-15.25%,BBTC.NS
38445.0,40005.75,39465.43,36015.02,32570.8,-5.74,1.87,False,False,True,True,True,True,False,-3.55%,19.95%,22.87%,-2.69%,19.91%,15.29%,BOSCHLTD.NS
369.3,384.62,372.95,371.12,403.53,1.92,0.79,False,False,False,True,True,False,False,-5.09%,3.97%,-25.90%,-4.23%,3.93%,-33.48%,FIRSTCRY.NS
896.0,924.51,952.62,1040.49,1050.4,-3.85,-17.35,True,False,False,False,False,False,False,-7.40%,-17.34%,-16.92%,-6.54%,-17.38%,-24.50%,BRIGADE.NS
5973.0,6078.68,5793.55,5682.65,5300.93,1.1,6.0,False,False,True,True,True,True,False,6.71%,10.57%,24.45%,7.56%,10.53%,16.87%,BRITANNIA.NS
1640.9,1642.11,1716.82,1788.08,1737.27,-0.09,-9.3,False,False,False,False,False,False,False,-7.95%,-15.67%,0.24%,-7.09%,-15.71%,-7.34%,MAPMYINDIA.NS
854.8,899.54,883.59,859.6,745.26,-7.45,-0.93,False,False,True,True,True,True,False,-5.15%,2.14%,31.77%,-4.29%,2.10%,24.19%,CCL.NS
162.5,162.88,164.11,167.69,159.78,4.73,-8.67,True,False,True,False,False,True,False,-1.35%,-2.71%,8.91%,-0.49%,-2.75%,1.33%,CESC.NS
740.0,764.12,711.53,697.19,665.82,0.91,8.22,False,False,True,True,True,True,False,9.22%,7.60%,15.83%,10.07%,7.56%,8.25%,CGPOWER.NS
4479.9,4937.71,5166.86,5351.69,5154.7,-11.68,-23.98,True,False,True,False,False,False,False,-17.51%,-12.37%,-20.31%,-16.66%,-12.41%,-27.89%,CRISIL.NS
270.25,272.87,270.13,274.54,270.19,1.96,-9.46,False,False,False,True,False,True,False,0.43%,-2.33%,-4.79%,1.28%,-2.37%,-12.37%,CAMPUS.NS
783.0,761.21,758.7,768.37,720.33,8.77,-4.16,True,False,True,True,False,True,False,1.94%,4.40%,16.13%,2.80%,4.36%,8.55%,CANFINHOME.NS
123.62,115.46,111.29,110.75,100.26,14.11,14.41,True,False,True,True,True,True,False,11.30%,15.42%,37.36%,12.15%,15.38%,29.78%,CANBK.NS
2067.0,2206.33,2137.5,2112.17,2093.13,-2.71,-1.44,True,False,True,True,True,True,False,-2.41%,-4.57%,-8.25%,-1.56%,-4.61%,-15.83%,CAPLIPOINT.NS
188.4,187.96,186.64,177.16,175.12,0.12,3.67,False,False,True,True,True,True,False,-0.61%,19.06%,7.78%,0.24%,19.02%,0.20%,CGCL.NS
921.0,961.15,931.55,952.28,1012.9,-2.78,-5.75,False,False,False,True,False,False,False,-2.59%,-7.12%,-25.32%,-1.74%,-7.16%,-32.91%,CARBORUNIV.NS
201.18,200.13,205.83,208.98,203.0,1.33,-7.13,False,False,True,False,False,False,False,-3.59%,-0.97%,14.33%,-2.74%,-1.01%,6.75%,CASTROLIND.NS
3474.0,3397.11,3287.1,3490.78,3206.49,4.67,0.38,False,False,True,True,False,True,False,9.16%,-6.21%,15.21%,10.02%,-6.25%,7.63%,CEATLTD.NS
37.65,36.84,36.33,37.26,41.25,5.52,-0.18,True,False,False,True,False,False,False,3.52%,1.44%,-31.28%,4.37%,1.40%,-38.86%,CENTRALBK.NS
1479.0,1529.95,1536.47,1589.96,1474.73,-2.61,-13.04,False,False,True,False,False,True,False,-5.77%,-1.86%,-5.18%,-4.91%,-1.90%,-12.76%,CDSL.NS
797.95,803.72,766.54,758.51,755.22,2.44,9.51,True,False,True,True,True,True,False,7.88%,3.06%,4.92%,8.74%,3.02%,-2.66%,CENTURYPLY.NS
6100.5,6272.5,6368.05,6514.46,6329.0,-3.29,-11.18,False,False,True,False,False,False,False,-5.82%,-3.52%,-8.05%,-4.96%,-3.56%,-15.63%,CERA.NS
960.0,1018.82,972.15,937.22,880.47,-4.39,2.98,False,False,True,True,True,True,False,-3.81%,4.27%,11.37%,-2.95%,4.23%,3.79%,CHALET.NS
511.5,540.12,541.64,552.72,556.98,-8.51,-6.41,False,False,False,False,False,False,False,-9.14%,-13.09%,13.63%,-8.28%,-13.13%,6.05%,CHAMBLFERT.NS
759.0,737.6,698.07,689.27,628.89,8.49,-1.94,False,False,True,True,True,True,False,15.10%,11.78%,33.03%,15.95%,11.73%,25.45%,CHENNPETRO.NS
1890.0,1879.04,1865.01,1927.01,1766.38,8.11,-9.8,True,False,True,True,False,True,False,0.22%,-3.17%,28.57%,1.08%,-3.21%,20.99%,CHOLAHLDNG.NS
1603.0,1559.38,1511.48,1547.74,1467.32,11.33,2.45,True,False,True,True,False,True,False,5.58%,-2.63%,26.33%,6.43%,-2.67%,18.74%,CHOLAFIN.NS
1511.6,1546.92,1544.44,1514.53,1487.53,-3.67,2.56,False,False,True,True,True,True,False,-2.23%,2.99%,5.94%,-1.38%,2.94%,-1.64%,CIPLA.NS
212.0,204.37,207.07,203.8,184.79,7.43,0.71,True,False,True,False,True,True,False,-0.17%,9.10%,29.48%,0.68%,9.06%,21.89%,CUB.NS
1097.6,1150.2,1174.76,1299.24,1300.49,-6.19,-15.2,False,False,False,False,False,False,False,-4.15%,-22.75%,-19.45%,-3.29%,-22.79%,-27.03%,CLEAN.NS
389.85,392.39,381.77,382.25,376.35,2.57,3.66,False,False,True,True,False,True,False,2.71%,0.25%,12.12%,3.57%,0.21%,4.53%,COALINDIA.NS
1863.0,1794.73,1745.14,1887.05,1655.44,7.33,1.38,True,False,True,True,False,True,False,9.26%,-4.45%,31.03%,10.12%,-4.49%,23.45%,COCHINSHIP.NS
1601.8,1692.09,1700.69,1752.16,1680.63,-7.51,-13.61,True,False,True,False,False,True,False,-7.31%,-5.19%,-6.14%,-6.46%,-5.23%,-13.72%,COFORGE.NS
2228.8,2337.04,2293.64,2372.12,2469.87,-6.43,-6.33,False,False,False,True,False,False,False,-5.18%,-11.09%,-16.96%,-4.32%,-11.13%,-24.55%,COLPAL.NS
3831.0,3891.18,3876.36,3968.97,3947.3,-0.23,-8.77,True,False,False,True,False,False,False,-0.13%,-2.96%,-14.25%,0.73%,-3.00%,-21.83%,CAMS.NS
1630.3,1634.49,1684.63,1732.97,1797.02,-2.84,-14.53,True,False,False,False,False,False,False,-3.11%,6.76%,-27.63%,-2.26%,6.72%,-35.22%,CONCORDBIO.NS
526.2,544.58,553.7,578.83,582.53,-3.41,-13.97,True,False,False,False,False,False,False,-5.61%,-13.97%,-8.68%,-4.76%,-14.01%,-16.26%,CONCOR.NS
2250.0,2255.28,2358.72,2350.23,2128.37,-3.82,-2.64,True,False,True,False,True,True,False,-5.56%,-6.00%,17.71%,-4.70%,-6.04%,10.13%,COROMANDEL.NS
6723.0,6784.7,6746.56,6154.77,5428.13,-6.1,5.01,False,False,True,True,True,True,False,-2.23%,22.95%,29.39%,-1.37%,22.91%,21.81%,CRAFTSMAN.NS
1401.6,1348.9,1330.07,1267.25,1125.98,1.39,9.53,True,False,True,True,True,True,False,0.42%,18.19%,46.14%,1.27%,18.15%,38.56%,CREDITACC.NS
293.3,310.39,319.32,332.29,340.24,-11.82,-11.92,True,False,False,False,False,False,False,-8.59%,-16.09%,-17.16%,-7.73%,-16.13%,-24.74%,CROMPTON.NS
3848.3,4004.43,3838.82,3553.19,3234.27,-0.95,7.27,False,False,True,True,True,True,False,-0.98%,30.53%,32.94%,-0.12%,30.49%,25.36%,CUMMINSIND.NS
1154.6,1203.57,1207.67,1253.08,1348.29,-3.16,-9.7,False,False,False,False,False,False,False,-4.52%,-13.62%,-32.95%,-3.66%,-13.66%,-40.53%,CYIENT.NS
1170.1,1224.91,1283.47,1234.82,1145.31,-5.65,-16.12,False,False,True,False,True,True,False,-7.40%,12.69%,12.40%,-6.54%,12.65%,4.81%,DCMSHRIRAM.NS
722.45,753.12,764.89,789.58,749.51,-5.49,-13.93,True,False,True,False,False,True,False,-6.56%,-5.73%,0.62%,-5.71%,-5.77%,-6.96%,DLF.NS
