Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
"<span data-order=""280.65"">280.65</span>","<span data-order=""285.25"">285.25</span>","<span data-order=""285.71"">285.71</span>","<span data-order=""289.55"">289.55</span>","<span data-order=""289.14"">289.14</span>","<span data-order=""-1.89"">-1.89</span>","<span data-order=""-5.35"">-5.35</span>",False,False,False,False,False,False,False,"<span data-order=""-1.18"">-1.18%</span>","<span data-order=""-3.19"">-3.19%</span>","<span data-order=""-1.75"">-1.75%</span>","<span data-order=""-0.32"">-0.32%</span>","<span data-order=""-3.23"">-3.23%</span>","<span data-order=""-9.34"">-9.34%</span>",POWERGRID.NS
"<span data-order=""1368.70"">1368.70</span>","<span data-order=""1385.20"">1385.20</span>","<span data-order=""1387.53"">1387.53</span>","<span data-order=""1420.31"">1420.31</span>","<span data-order=""1338.34"">1338.34</span>","<span data-order=""-0.28"">-0.28</span>","<span data-order=""-2.73"">-2.73</span>",True,False,True,False,False,True,False,"<span data-order=""-3.94"">-3.94%</span>","<span data-order=""-2.74"">-2.74%</span>","<span data-order=""10.93"">10.93%</span>","<span data-order=""-3.08"">-3.08%</span>","<span data-order=""-2.78"">-2.78%</span>","<span data-order=""3.35"">3.35%</span>",RELIANCE.NS
"<span data-order=""648.70"">648.70</span>","<span data-order=""616.50"">616.50</span>","<span data-order=""615.95"">615.95</span>","<span data-order=""640.93"">640.93</span>","<span data-order=""619.29"">619.29</span>","<span data-order=""10.64"">10.64</span>","<span data-order=""1.34"">1.34</span>",True,False,False,True,False,False,False,"<span data-order=""4.66"">4.66%</span>","<span data-order=""-0.62"">-0.62%</span>","<span data-order=""20.32"">20.32%</span>","<span data-order=""5.52"">5.52%</span>","<span data-order=""-0.66"">-0.66%</span>","<span data-order=""12.74"">12.74%</span>",SHRIRAMFIN.NS
"<span data-order=""1422.70"">1422.70</span>","<span data-order=""1396.53"">1396.53</span>","<span data-order=""1369.86"">1369.86</span>","<span data-order=""1394.21"">1394.21</span>","<span data-order=""1277.40"">1277.40</span>","<span data-order=""6.78"">6.78</span>","<span data-order=""0.14"">0.14</span>",False,False,True,True,False,True,False,"<span data-order=""4.47"">4.47%</span>","<span data-order=""1.32"">1.32%</span>","<span data-order=""27.98"">27.98%</span>","<span data-order=""5.33"">5.33%</span>","<span data-order=""1.28"">1.28%</span>","<span data-order=""20.39"">20.39%</span>",ADANIPORTS.NS
"<span data-order=""864.10"">864.10</span>","<span data-order=""842.33"">842.33</span>","<span data-order=""823.38"">823.38</span>","<span data-order=""813.89"">813.89</span>","<span data-order=""782.05"">782.05</span>","<span data-order=""6.40"">6.40</span>","<span data-order=""6.02"">6.02</span>",True,False,True,True,True,True,False,"<span data-order=""4.65"">4.65%</span>","<span data-order=""8.48"">8.48%</span>","<span data-order=""17.82"">17.82%</span>","<span data-order=""5.51"">5.51%</span>","<span data-order=""8.44"">8.44%</span>","<span data-order=""10.24"">10.24%</span>",SBIN.NS
"<span data-order=""1636.20"">1636.20</span>","<span data-order=""1612.09"">1612.09</span>","<span data-order=""1625.67"">1625.67</span>","<span data-order=""1653.09"">1653.09</span>","<span data-order=""1695.05"">1695.05</span>","<span data-order=""3.64"">3.64</span>","<span data-order=""-2.49"">-2.49</span>",True,False,False,False,False,False,False,"<span data-order=""-0.24"">-0.24%</span>","<span data-order=""-1.49"">-1.49%</span>","<span data-order=""-6.74"">-6.74%</span>","<span data-order=""0.61"">0.61%</span>","<span data-order=""-1.53"">-1.53%</span>","<span data-order=""-14.32"">-14.32%</span>",SUNPHARMA.NS
"<span data-order=""2914.20"">2914.20</span>","<span data-order=""3054.15"">3054.15</span>","<span data-order=""3068.02"">3068.02</span>","<span data-order=""3232.08"">3232.08</span>","<span data-order=""3485.76"">3485.76</span>","<span data-order=""-5.92"">-5.92</span>","<span data-order=""-7.77"">-7.77</span>",True,False,False,False,False,False,False,"<span data-order=""-6.07"">-6.07%</span>","<span data-order=""-15.66"">-15.66%</span>","<span data-order=""-30.14"">-30.14%</span>","<span data-order=""-5.22"">-5.22%</span>","<span data-order=""-15.70"">-15.70%</span>","<span data-order=""-37.72"">-37.72%</span>",TCS.NS
"<span data-order=""1144.80"">1144.80</span>","<span data-order=""1112.38"">1112.38</span>","<span data-order=""1087.35"">1087.35</span>","<span data-order=""1096.77"">1096.77</span>","<span data-order=""1049.08"">1049.08</span>","<span data-order=""3.66"">3.66</span>","<span data-order=""5.53"">5.53</span>",False,False,True,True,False,True,False,"<span data-order=""5.21"">5.21%</span>","<span data-order=""2.84"">2.84%</span>","<span data-order=""19.74"">19.74%</span>","<span data-order=""6.07"">6.07%</span>","<span data-order=""2.80"">2.80%</span>","<span data-order=""12.16"">12.16%</span>",TATACONSUM.NS
"<span data-order=""718.35"">718.35</span>","<span data-order=""699.86"">699.86</span>","<span data-order=""684.08"">684.08</span>","<span data-order=""690.69"">690.69</span>","<span data-order=""689.78"">689.78</span>","<span data-order=""3.80"">3.80</span>","<span data-order=""6.68"">6.68</span>",True,False,False,True,False,True,False,"<span data-order=""4.81"">4.81%</span>","<span data-order=""0.92"">0.92%</span>","<span data-order=""-5.97"">-5.97%</span>","<span data-order=""5.66"">5.66%</span>","<span data-order=""0.88"">0.88%</span>","<span data-order=""-13.55"">-13.55%</span>",TATAMOTORS.NS
"<span data-order=""167.51"">167.51</span>","<span data-order=""169.98"">169.98</span>","<span data-order=""163.40"">163.40</span>","<span data-order=""160.45"">160.45</span>","<span data-order=""148.50"">148.50</span>","<span data-order=""-0.20"">-0.20</span>","<span data-order=""2.74"">2.74</span>",False,False,True,True,True,True,False,"<span data-order=""3.71"">3.71%</span>","<span data-order=""6.31"">6.31%</span>","<span data-order=""35.05"">35.05%</span>","<span data-order=""4.57"">4.57%</span>","<span data-order=""6.27"">6.27%</span>","<span data-order=""27.47"">27.47%</span>",TATASTEEL.NS
"<span data-order=""1416.00"">1416.00</span>","<span data-order=""1486.08"">1486.08</span>","<span data-order=""1488.35"">1488.35</span>","<span data-order=""1543.04"">1543.04</span>","<span data-order=""1540.11"">1540.11</span>","<span data-order=""-6.11"">-6.11</span>","<span data-order=""-8.48"">-8.48</span>",True,False,False,False,False,False,False,"<span data-order=""-6.92"">-6.92%</span>","<span data-order=""-8.76"">-8.76%</span>","<span data-order=""-12.48"">-12.48%</span>","<span data-order=""-6.07"">-6.07%</span>","<span data-order=""-8.80"">-8.80%</span>","<span data-order=""-20.06"">-20.06%</span>",TECHM.NS
"<span data-order=""3408.30"">3408.30</span>","<span data-order=""3510.55"">3510.55</span>","<span data-order=""3508.23"">3508.23</span>","<span data-order=""3518.97"">3518.97</span>","<span data-order=""3395.24"">3395.24</span>","<span data-order=""-7.65"">-7.65</span>","<span data-order=""-1.85"">-1.85</span>",True,False,True,True,False,True,False,"<span data-order=""-5.75"">-5.75%</span>","<span data-order=""-4.37"">-4.37%</span>","<span data-order=""2.89"">2.89%</span>","<span data-order=""-4.90"">-4.90%</span>","<span data-order=""-4.41"">-4.41%</span>","<span data-order=""-4.69"">-4.69%</span>",TITAN.NS
